"id","ref_id","technology","hierarchy","specification","structure_id","owner","remediation","remediation_specification","remediation_desc","full_name","node_code","cascade","forward_attenuator","forward_equaliser","return_attenuator","return_equaliser","ac_voltage","free_tap_ports","signal_level_code","connected_rf_combiner_code","connected_exchange_code","connected_cmts_code","object_status","NBP_flag","asset_transfer"
"3NES-68-01-PCD-1179","","COAXIAL","PCD","VIRTUAL","000000015011340346","NBN","","","","","WESS WE59","","","","","",0.000,0,"","","","","CONSTRUCTED","N","Y"
"3NES-68-01-PCD-1162","","COAXIAL","PCD","VIRTUAL","000000015011485040","TELSTRA","","","","","WESS WE59","","","","","",0.000,0,"","","","","EXISTING","N","Y"
"3NES-68-01-PCD-1088","","COAXIAL","PCD","VIRTUAL","000000015011484700","NBN","","","","","WESS WE59","","","","","",0.000,0,"","","","","CONSTRUCTED","N","Y"
"3NES-68-01-PCD-1099","","COAXIAL","PCD","VIRTUAL","000000015011484382","TELSTRA","","","","","WESS WE59","","","","","",0.000,0,"","","","","EXISTING","N","Y"
"3NES-68-01-PCD-1101","","COAXIAL","PCD","VIRTUAL","3NES-68-01-NEC-108","TELSTRA","","","","","WESS WE59","","","","","",0.000,0,"","","","","EXISTING","N","Y"
"3NES-68-01-PCD-1100","","COAXIAL","PCD","VIRTUAL","000000015011484383","TELSTRA","","","","","WESS WE59","","","","","",0.000,0,"","","","","EXISTING","N","Y"
"3NES-68-01-PCD-1104","","COAXIAL","PCD","VIRTUAL","000000015011482803","NBN","","","","","WESS WE59","","","","","",0.000,0,"","","","","CONSTRUCTED","N","Y"
"3NES-68-01-PCD-1106","","COAXIAL","PCD","VIRTUAL","000000015011482804","TELSTRA","","","","","WESS WE59","","","","","",0.000,0,"","","","","EXISTING","N","Y"
"3NES-68-01-PCD-1105","","COAXIAL","PCD","VIRTUAL","000000015011482805","TELSTRA","","","","","WESS WE59","","","","","",0.000,0,"","","","","EXISTING","N","Y"
"3NES-68-01-PCD-1108","","COAXIAL","PCD","VIRTUAL","000000015011482164","TELSTRA","","","","","WESS WE59","","","","","",0.000,0,"","","","","EXISTING","N","Y"
"3NES-68-01-PCD-1110","","COAXIAL","PCD","VIRTUAL","000000015011482165","TELSTRA","","","","","WESS WE59","","","","","",0.000,0,"","","","","EXISTING","N","Y"
"3NES-68-01-PCD-1109","","COAXIAL","PCD","VIRTUAL","000000015011482163","TELSTRA","","","","","WESS WE59","","","","","",0.000,0,"","","","","EXISTING","N","Y"
"3NES-68-01-PCD-1177","","COAXIAL","PCD","VIRTUAL","000000015011469522","TELSTRA","","","","","WESS WE59","","","","","",0.000,0,"","","","","EXISTING","N","Y"
"3NES-68-01-PCD-1178","","COAXIAL","PCD","VIRTUAL","000000015011469525","NBN","","","","","WESS WE59","","","","","",0.000,0,"","","","","CONSTRUCTED","N","Y"
"3NES-68-01-PCD-1166","","COAXIAL","PCD","VIRTUAL","000000015011469529","TELSTRA","","","","","WESS WE59","","","","","",0.000,0,"","","","","EXISTING","N","Y"
"3NES-68-01-PCD-1160","","COAXIAL","PCD","VIRTUAL","000000004223836512","TELSTRA","","","","","WESS WE59","","","","","",0.000,0,"","","","","EXISTING","N","Y"
"3NES-68-01-PCD-1158","","COAXIAL","PCD","VIRTUAL","000000004223836319","TELSTRA","","","","","WESS WE59","","","","","",0.000,0,"","","","","EXISTING","N","Y"
"3NES-68-01-PCD-1161","","COAXIAL","PCD","VIRTUAL","000000004223836691","NBN","","","","","WESS WE59","","","","","",0.000,0,"","","","","CONSTRUCTED","N","Y"
"3NES-68-01-PCD-0110","","COAXIAL","PCD","VIRTUAL","000000000200061787","TELSTRA","","","","","WESS WE59","","","","","",0.000,0,"","","","","EXISTING","N","Y"
"3NES-68-01-PCD-0112","","COAXIAL","PCD","VIRTUAL","000000000200061784","TELSTRA","","","","","WESS WE59","","","","","",0.000,0,"","","","","EXISTING","N","Y"
"3NES-68-01-PCD-0111","","COAXIAL","PCD","VIRTUAL","000000000200061804","TELSTRA","","","","","WESS WE59","","","","","",0.000,0,"","","","","EXISTING","N","Y"
"3NES-68-01-PCD-0113","","COAXIAL","PCD","VIRTUAL","000000001204615928","TELSTRA","","","","","WESS WE59","","","","","",0.000,0,"","","","","EXISTING","N","Y"
"3NES-68-01-PCD-0103","","COAXIAL","PCD","VIRTUAL","000000000200061761","NBN","","","","","WESS WE59","","","","","",0.000,0,"","","","","CONSTRUCTED","N","Y"
