"id","ref_id","additional_id","segment_number","technology","hierarchy","length","specification","start_equipment_id","end_equipment_id","core_count","designation","start_structure_id","end_structure_id","object_status","owner","placement_type","start_equipment_port_id","end_equipment_port_id","remediation","remediation_specification","remediation_desc","leadin_cable_transfer","asset_transfer"
"000000004223851049","","",1,"COPPER","CSS",6.8,"Cu 2/0.40, PEILI, PE","000000004223275899","",2,"WESS P131:O73","000000000200348236","000000004223850907","INSERVICE","TELSTRA","","","","","","","N","N"
"000000004223851243","","",1,"COPPER","CSS",10.0,"Cu 2/0.40, PEILI, PE","000000015005359475","",2,"WESS P131:O273","000000000200348314","000000004223851095","INSERVICE","TELSTRA","","","","","","","N","N"
"000000004223851429","","",1,"COPPER","CSS",10.0,"Cu 2/0.40, PEILI, PE","000000004223275936","",2,"WESS P131:O96-97","000000000200348243","000000004223851288","INSERVICE","TELSTRA","","","","","","","N","N"
"000000004223851625","","",1,"COPPER","CSS",12.2,"Cu 2/0.40, PEILI, PE","000000004223209849","",2,"WESS P131:O141","000000000200086801","000000004223851482","INSERVICE","TELSTRA","","","","","","","N","N"
"000000004223851821","","",1,"COPPER","CSS",14.1,"Cu 2/0.40, PEILI, PE","000000004223209764","",2,"WESS P131:O143","000000000200086790","000000004223851676","INSERVICE","TELSTRA","","","","","","","N","N"
"000000004223852007","","",1,"COPPER","CSS",12.4,"Cu 2/0.40, PEILI, PE","000000004223209764","",2,"WESS P131:O135","000000000200086790","000000004223851871","INSERVICE","TELSTRA","","","","","","","N","N"
"000000004223852208","","",1,"COPPER","CSS",12.2,"Cu 2/0.40, PEILI, PE","000000015020708467","",2,"WESS P131:O138","000000000200086789","000000004223852052","INSERVICE","TELSTRA","","","","","","","N","N"
"000000004223852403","","",1,"COPPER","CSS",9.0,"Cu 2/0.40, PEIFLI, PE","000000004223313421","",2,"WESS P131:O190","000000012503606825","000000004223852257","INSERVICE","TELSTRA","","","","","","","N","N"
"000000004223852595","","",1,"COPPER","CSS",10.0,"Cu 2/0.40, PEILI, PE","000000015005358305","",2,"WESS P131:O261","000000000200348502","000000004223852455","INSERVICE","TELSTRA","","","","","","","N","N"
"000000004223852780","","",1,"COPPER","CSS",10.0,"Cu 2/0.40, PEILI, PE","000000015005359524","",2,"WESS P131:O253","000000012503606852","000000004223852642","INSERVICE","TELSTRA","","","","","","","N","N"
"000000004223853159","","",1,"COPPER","CSS",24.3,"Cu 2/0.40, PEILI, PE","000000004223276257","",2,"WESS P131:O216","000000000200349851","000000004223853022","INSERVICE","TELSTRA","","","","","","","N","N"
"000000004223853354","","",1,"COPPER","CSS",13.0,"Cu 2/0.40, PEILI, PE","000000004223313601","",2,"WESS P131:O212","000000012503606845","000000004223853210","INSERVICE","TELSTRA","","","","","","","N","N"
"000000004223853554","","",1,"COPPER","CSS",10.0,"Cu 2/0.40, PEIFLI, PE","000000004223313601","",2,"WESS P131:O201","000000012503606845","000000004223853402","INSERVICE","TELSTRA","","","","","","","N","N"
"000000004223853748","","",1,"COPPER","CSS",12.8,"Cu 2/0.40, PEILI, PE","000000004223276368","",2,"","000000000200349867","000000004223853603","INSERVICE","TELSTRA","","","","","","","N","N"
"000000004223854232","","",1,"COPPER","CSS",25.5,"Cu 2/0.40, PEILI, PE","000000015020708417","",2,"WESS P131:O181","000000000200086359","000000004223853798","INSERVICE","TELSTRA","","","","","","","N","N"
"000000004223854276","","",1,"COPPER","CSS",25.5,"Cu 2/0.40, PEILI, PE","000000015020708417","",2,"WESS P131:O183","000000000200086359","000000004223853839","INSERVICE","TELSTRA","","","","","","","N","N"
