"cable_id","segment_number","route_id","duct_id"
"3NES-68-01-SDS-0198",1,"000000015005399247","000000015033956380"
"3NES-68-01-SDS-0198",1,"000000015005428687","000000015034117111"
"3NES-68-01-SDS-0198",1,"000000015005428683","000000015034117095"
"3NES-68-01-SDS-0196",1,"000000000200018656","000000000200075019"
"3NES-68-01-SDS-0199",1,"000000000200018656","000000000200075019"
"3NES-68-01-SDS-0083",1,"000000000200017085","000000000200070784"
"3NES-68-01-SDS-0103",1,"000000000200017436","000000000200071621"
"3NES-68-01-SDS-0103",1,"000000000200017263","000000000200071254"
"3NES-68-01-SDS-0113",1,"000000001202475826","000000001204615936"
"3NES-68-01-SDS-0113",1,"000000000200017474","000000000200071707"
"3NES-68-01-SDS-0185",1,"000000015003924031","000000015016619011"
"3NES-68-01-SDS-1166",1,"000000000200096501","000000000200402025"
"3NES-68-01-SDS-0844",1,"000000000200074434","000000000200302092"
"3NES-68-01-SDS-0845",1,"000000000200074434","000000000200302092"
"3NES-68-01-SDS-0306",1,"000000000200088509","000000000200364937"
"3NES-68-01-SDS-0306",1,"000000000200090067","000000000200372290"
"3NES-68-01-SDS-0323",1,"000000000200088509","000000000200364937"
"3NES-68-01-SDS-0323",1,"000000000200090067","000000000200372290"
"3NES-68-01-SDS-0312",1,"000000000200089978","000000000200371936"
"3NES-68-01-SDS-0312",1,"000000000200089975","000000000200371928"
"3NES-68-01-SDS-0313",1,"000000000200089977","000000000200371934"
"3NES-68-01-SDS-0313",1,"000000000200089975","000000000200371928"
"3NES-68-01-SDS-0314",1,"000000000200088578","000000000200365304"
"3NES-68-01-SDS-0314",1,"000000000200090085","000000000200372351"
"3NES-68-01-SDS-0321",1,"000000000200088578","000000000200365304"
"3NES-68-01-SDS-0321",1,"000000000200090085","000000000200372351"
"3NES-68-01-SDS-0594",1,"000000000200027953","000000000200112082"
"3NES-68-01-SDS-0594",1,"000000000200007367","000000000200042205"
"3NES-68-01-SDS-0595",1,"000000001202410413","000000001204195333"
"3NES-68-01-SDS-0595",1,"000000000200007367","000000000200042205"
"3NES-68-01-HDL-0076",1,"000000015005380469","000000015033871402"
"3NES-68-01-HDL-0076",1,"000000015005381500","000000015033875013"
"3NES-68-01-HDL-0076",1,"000000015001426981","000000015007590488"
"3NES-68-01-SDS-0602",1,"000000015005380472","000000015033871437"
"3NES-68-01-SDS-0603",1,"000000015005380473","000000015033871438"
"3NES-68-01-SDS-0604",1,"000000015005380474","000000015033871440"
"3NES-68-01-SDS-0605",1,"000000015005380475","000000015033871441"
